kod_nts;wojewodztwo;nazwa_powiatu;rok2003;rok2007;rok2011;rok2015
2244562000;24;m. Bytom;2056,68;2480,20;3266,64;4050,32
2244571000;24;m. Piekary Śląskie;1842,64;2395,67;2969,61;3958,91
2244604000;24;częstochowski;1685,77;2085,68;2796,73;3209,23
2244606000;24;kłobucki;1579,20;1882,12;2559,06;2978,56
2244609000;24;myszkowski;1638,48;2110,45;2839,79;3331,77
2244664000;24;m. Częstochowa;2038,40;2517,31;3197,12;3644,53
2244705000;24;gliwicki;1911,25;2369,81;2876,99;3420,49
2244766000;24;m. Gliwice;2436,82;3146,53;4020,23;4726,43
2244778000;24;m. Zabrze;2266,48;2804,13;3572,02;3955,12
2244863000;24;m. Chorzów;2004,63;2493,66;3237,48;3754,13
2244869000;24;m. Katowice;3033,42;3727,38;5013,92;5262,02
2244870000;24;m. Mysłowice;1861,33;2423,41;3305,37;3787,80
2244872000;24;m. Ruda Śląska;2374,86;2510,79;3179,15;3577,97
2244874000;24;m. Siemianowice Śląskie;2030,95;2584,80;3234,32;3700,78
2244876000;24;m. Świętochłowice;1925,65;2381,12;2755,39;3260,66
2244911000;24;raciborski;1975,88;2498,57;3192,56;3735,23
2244912000;24;rybnicki;2017,91;2359,47;3109,11;3624,92
2244915000;24;wodzisławski;1741,56;2127,50;2724,60;3211,61
2244967000;24;m. Jastrzębie-Zdrój;3197,70;4318,46;6324,79;6182,71
2244973000;24;m. Rybnik;2479,42;2648,18;3353,40;3762,40
2244979000;24;m. Żory;1790,04;2132,51;3079,04;3613,55
2245001000;24;będziński;2076,70;2370,56;3019,92;3451,24
2245016000;24;zawierciański;1929,28;2494,65;3210,05;3681,04
2245065000;24;m. Dąbrowa Górnicza;2384,65;3088,83;4060,01;4613,23
2245068000;24;m. Jaworzno;2450,31;3230,36;4369,87;5333,82
2245075000;24;m. Sosnowiec;2086,10;2524,96;3236,16;3706,45
2245108000;24;mikołowski;2258,65;2656,88;3111,51;3657,03
2245110000;24;pszczyński;1887,53;2389,21;2892,32;3372,27
2245114000;24;bieruńsko-lędziński;1969,95;2427,10;3266,00;3657,77
2245177000;24;m. Tychy;2288,19;2766,57;3443,06;4011,32
3060901000;06;bialski;1666,91;2042,47;2732,50;3127,01
3060913000;06;parczewski;1740,20;2195,87;2883,33;3217,95
3060915000;06;radzyński;1888,95;2231,93;2853,46;3243,52
3060919000;06;włodawski;1838,50;2142,24;2898,66;3267,12
3060961000;06;m. Biała Podlaska;1834,22;2371,55;3305,79;3643,59
3061002000;06;biłgorajski;1823,67;2274,16;2829,98;3343,68
3061003000;06;chełmski;1862,96;2182,50;2850,62;3251,54
3061004000;06;hrubieszowski;1795,42;2195,60;2967,86;3275,78
3061006000;06;krasnostawski;1786,44;2298,87;2983,35;3315,19
3061018000;06;tomaszowski;1721,63;2099,05;2739,50;3144,81
3061020000;06;zamojski;1590,52;1969,60;2726,29;3021,19
3061062000;06;m. Chełm;1951,04;2263,06;2942,39;3371,93
